full_word,sentence_word_index,total_word_index
M. de Rênal,7,33150
Mme de Rênal,25,33241
Julien,0,33314
Julien,5,33379
Mais,0,33442
Julien,8,33542
Julien,5,33597
Julien,6,33617
Julien,12,33634
Julien,19,33679
Julien,3,33719
Mon Dieu,0,33741
Julien,6,33762
Julien,9,33821
Don Juan,28,33902
Julien,0,34026
Mme de Rênal,26,34067
Julien,0,34121
Julien,15,34201
Mme de Rênal,3,34252
Mme Derville,18,34298
Mme de Rênal,23,34303
Julien,9,34354
Derville,7,34396
Julien,23,34412
Mme de Rênal,19,34408
Julien,4,34465
Mais,0,34504
Mais Julien,0,34582
Julien,0,34720
Julien,6,34770
Elle,0,34847
Julien,5,34910
Julien,29,35013
Mme de Rênal,11,34995
Julien,10,35068
Julien,24,35082
Julien,6,35201
Mme Derville,2,35506
de Rênal,0,35683
Julien,0,36016
Julien,22,36157
M. de Rênal,34,36248
Moi,18,36232
Valenod,0,36258
Julien,0,36432
Julien,0,36492
Julien,0,36625
M. de Moirod,5,36747
Verrières,29,36771
M. de Rênal,19,36811
Julien,0,36792
M. de Moirod,9,36963
Julien,7,37046
Valenod,0,37221
Jean,20,37241
M. de Maugiron,15,37266
Julien,8,37301
Julien,28,37374
M. de Rênal,0,37693
Chacun,0,37708
M. de Moirod,20,37751
M. de Rênal,0,37731
M. de Moirod,10,37779
M. de Moirod,10,37938
Julien,10,38001
Julien,0,38070
Julien,12,38174
Julien,28,38348
Valenod,0,38320
Julien,16,38449
Maslon,0,38538
Chélan,0,38553
M. de Rênal,2,38557
Chélan,6,38605
Maslon,13,38664
M. de Rênal,17,38689
M. de La Mole,32,38704
Julien,8,38844
Chélan,0,38836
M. de Moirod,7,38998
Valenod,0,39084
Sorel,4,39088
Julien,9,39238
M. de Moirod,26,39537
Clément,18,39616
M. de Rênal,17,39635
Julien,11,39629
Julien,0,39744
M. de La Mole,4,39781
Chélan,0,39903
Julien,10,39913
Julien,0,39923
Julien,3,40046
